品名,種別,留意点等,北・東地区,南・西地区
アーチェリー（一式）,粗大ごみ,,戸別回収,戸別回収
IHコンロ（クッキングヒーター）,小型家電,50センチメートル以上は粗大ごみ。,第2・第4月曜日,第2・第4火曜日
アイスクリームのカップ・フタ（紙製）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
アイスピック,不燃ごみ,紙に包み指定ごみ袋にいれ「キケン」と表示する。,毎週木曜日,毎週金曜日
アイロン,小型家電,,第2・第4月曜日,第2・第4火曜日
アイロン台,粗大ごみ,,戸別回収,戸別回収
アイロンプリント紙,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
アクセサリー（革製・木製）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
アクセサリー（金属製）,不燃ごみ,,毎週木曜日,毎週金曜日
アコーディオンカーテン,粗大ごみ,1メートル以上は大型粗大ごみ。,戸別回収,戸別回収
アタッシュケース,不燃ごみ,50センチメートル以上は粗大ごみ。,毎週木曜日,毎週金曜日
（電源）アダプター,小型家電,なるべく小型家電専用回収ボックスへ。,第2・第4月曜日,第2・第4火曜日
厚紙,ミックスペーパー,,集団資源回収日,集団資源回収日
圧着はがき,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
圧力鍋,家庭金物,,集団資源回収日,集団資源回収日
穴あけパンチ,家庭金物,金属以外の部品は外す。,集団資源回収日,集団資源回収日
油（食用）,燃やすごみ,拠点回収へ。燃やすごみへ出す場合は布や紙に染み込ませるか、固める。,毎週火・金曜日,毎週月・木曜日
油紙,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
油の缶（機械用オイルなどの油脂缶）,不燃ごみ,中身は布や紙に染み込ませるか、固めて燃やすごみ。,毎週木曜日,毎週金曜日
油の缶（食用油缶）,スチール缶,中身は拠点回収へ。燃やすごみへ出す場合は布や紙に染み込ませるか、固める。,集団資源回収日,集団資源回収日
雨合羽,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
雨戸（開き戸など）,粗大ごみ,50センチメートル未満の金属製は家庭金物。1メートル以上2メートル以内は大型粗大ごみ。,戸別回収,戸別回収
雨とい（金属製）,不燃ごみ,50センチメートル以上は粗大ごみ。1メートル以上2メートル以内は大型粗大ごみ。,毎週木曜日,毎週金曜日
雨とい（プラスチック製）,燃やすごみ,50センチメートル以上は粗大ごみ。1メートル以上2メートル以内は大型粗大ごみ。,毎週火・金曜日,毎週月・木曜日
編み機,粗大ごみ,1メートル以上は大型粗大ごみ。,戸別回収,戸別回収
網戸（金属製の枠）,粗大ごみ,網を外す。外した網は燃やすごみ。50センチメートル未満は家庭金物。1メートル以上は大型粗大ごみ。,戸別回収,戸別回収
あらい桶（金属製）,家庭金物,50センチメートル以上は粗大ごみ。,集団資源回収日,集団資源回収日
アルミ缶,アルミ缶,中身を空にして汚れを落とす。落ちなければ不燃ごみ。,集団資源回収日,集団資源回収日
アルミサッシ,不燃ごみ,50センチメートル以上は粗大ごみ。1メートル以上2メートル以内は大型粗大ごみ。,毎週木曜日,毎週金曜日
アルミ製の油よけ,不燃ごみ,,毎週木曜日,毎週金曜日
アルミホイル（アルミ箔）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
アンテナ（テレビ・ラジオ・無線）,粗大ごみ,50センチメートル未満の金属製は家庭金物。1メートル以上は大型粗大ごみ。,戸別回収,戸別回収
アンプ（オーディオ・ギター）,小型家電,50センチメートル以上は粗大ごみ。,第2・第4月曜日,第2・第4火曜日
品名,種別,留意点等,北・東地区,南・西地区
囲碁板,不燃ごみ,50センチメートル以上は粗大ごみ。,毎週木曜日,毎週金曜日
石,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
衣装ケース（プラスチック製）,粗大ごみ,,戸別回収,戸別回収
衣装ケース（金属製）,家庭金物,50センチメートル以上は粗大ごみ。,集団資源回収日,集団資源回収日
いす（座椅子など）,粗大ごみ,,戸別回収,戸別回収
板（木製・合板・アクリル製）,燃やすごみ,50センチメートル以上は粗大ごみ。1メートル以上2メートル以内は大型粗大ごみ。,毎週火・金曜日,毎週月・木曜日
板ガラス,不燃ごみ,50センチメートル以上は粗大ごみ。1メートル以上2メートル以内は大型粗大ごみ。,毎週木曜日,毎週金曜日
一輪車,粗大ごみ,,戸別回収,戸別回収
一升びん,あきびん,販売店に返却する。中身を空にして汚れを落とす。拠点回収にも出せる。,第2・第4水曜日,第1・第3水曜日
一升びんのフタ,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
一斗缶（食用油）,家庭金物,中身は拠点回収へ。燃やすごみへ出す場合は布や紙に染み込ませるか、固める。※事業系廃棄物はステーションには出せません。,集団資源回収日,集団資源回収日
一斗缶（ペンキ缶など）,不燃ごみ,中身を出す。※事業系廃棄物はステーションには出せません。,毎週木曜日,毎週金曜日
井戸用ポンプ（手押しポンプのみ）,粗大ごみ,電動ポンプは収集不可。,戸別回収,戸別回収
衣類,布類,,集団資源回収日,集団資源回収日
衣類（羽毛・革製・綿入り）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
衣類乾燥機,家電4品目,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
入れ歯,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
印画紙,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
インクカートリッジ（家庭のパソコンプリンター用）,燃やすごみ,なるべく拠点回収へ。,毎週火・金曜日,毎週月・木曜日
飲料用紙パック,飲料用紙パック,内側が銀色など紙パックマークのないものは燃やすごみ。,集団資源回収日,集団資源回収日
品名,種別,留意点等,北・東地区,南・西地区
ウインドサーフィンのセイル,粗大ごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。,戸別回収,戸別回収
ウインドサーフィンのブーム、ボード、マスト,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
ウインドファン（窓付け）,粗大ごみ,冷媒を使用していないもの。,戸別回収,戸別回収
ウインドブレーカー,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
ウェイクボード,粗大ごみ,,戸別回収,戸別回収
植木枝（直径15センチメートル未満）,草・葉・植木,長さ1メートル以内にして束ねる。1度に3束まで。,第1・第3・第5月曜日,第1・第3・第5火曜日
植木枝（直径15センチメートル以上20センチメートル未満）,草・葉・植木,長さ80センチメートル以内にして束ねる。1度に3束まで。,第1・第3・第5月曜日,第1・第3・第5火曜日
植木枝（20センチメートル以上30センチメートル未満）,草・葉・植木,長さ30センチメートル以内にして束ねる。1度に3束まで。,第1・第3・第5月曜日,第1・第3・第5火曜日
植木枝（直径30センチメートル以上）,粗大ごみ,,戸別回収,戸別回収
植木鉢（黒いビニール製）,容器包装プラスチック,容器包装プラスチックのマークを確認する。汚れを落とす。汚れが落ちなければ燃やすごみ。,毎週水曜日,毎週水曜日
植木鉢（素焼き・陶器製）,不燃ごみ,50センチメートル以上は粗大ごみ,毎週木曜日,毎週金曜日
植木鉢（プラスチック製）,燃やすごみ,50センチメートル以上は粗大ごみ,毎週火・金曜日,毎週月・木曜日
ウエットスーツ,粗大ごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。,戸別回収,戸別回収
ウォーターサーバー,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
ウォーターサーバーボトル,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
ウォールオーニング,粗大ごみ,解体済のものに限る。,戸別回収,戸別回収
臼（うす）,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
内釜（炊飯器）,家庭金物,,集団資源回収日,集団資源回収日
腕時計（機械式）,不燃ごみ,,毎週木曜日,毎週金曜日
腕時計（電池式）,小型家電,なるべく小型家電回収ボックスへ。,第2・第4月曜日,第2・第4火曜日
品名,種別,留意点等,北・東地区,南・西地区
エアーマット,粗大ごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。,戸別回収,戸別回収
エアコン（室内機・室外機）,家電4品目,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
映写機,小型家電,50センチメートル以上は粗大ごみ。,第2・第4月曜日,第2・第4火曜日
衛生用品,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
ACアダプター,小型家電,なるべく小型家電専用回収ボックスへ。,第2・第4月曜日,第2・第4火曜日
絵の具のチューブ（金属製）,不燃ごみ,,毎週木曜日,毎週金曜日
絵の具のチューブ（プラスチック製）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
エフェクター,小型家電,,第2・第4月曜日,第2・第4火曜日
MD（ミニディスク）,燃やすごみ,なるべく拠点回収へ。,毎週火・金曜日,毎週月・木曜日
LED電球,不燃ごみ,,毎週木曜日,毎週金曜日
